"ID","COST_FT1","COST_FT2","COST_FT3","COST_FT4","COST_FT5","COST_FT6","COST_FT7","COST_FT8","COST_FT9","COST_FT10","COST_FT11","COST_FT12","COST_FT2_S","COST_FT3_S","COST_FT4_S","COST_FT5_S","COST_FT8_S","COST_FT9_S","COST_FT10_S","COST_FT1_S","COST_FT6_S","COST_FT7_S","COST_FT11_S","COST_N_ITEMS_ANSWERED","COST_ITEM_SUM","COST_GP_TOTAL","COST_PRORATED","COST_MISSING"
211,2,2,1,0,1,4,3,3,3,0,0,0,2,3,4,3,1,1,4,2,4,3,0,11,27,27,FALSE,FALSE
212,0,0,0,1,0,3,2,3,3,0,0,0,4,4,3,4,1,1,4,0,3,2,0,11,26,26,FALSE,FALSE
213,1,4,1,0,0,1,1,2,4,1,3,4,0,3,4,4,2,0,3,1,1,1,3,11,22,22,FALSE,FALSE
214,1,3,1,4,1,2,3,4,2,2,4,4,1,3,0,3,0,2,2,1,2,3,4,11,21,21,FALSE,FALSE
215,3,0,2,0,0,3,0,1,1,1,0,0,4,2,4,4,3,3,3,3,3,0,0,11,29,29,FALSE,FALSE
216,4,0,3,2,4,3,2,2,4,4,4,4,4,1,2,0,2,0,0,4,3,2,4,11,22,22,FALSE,FALSE
217,2,0,3,2,0,4,0,3,4,0,1,2,4,1,2,4,1,0,4,2,4,0,1,11,23,23,FALSE,FALSE
218,4,0,1,1,1,2,1,1,2,3,1,3,4,3,3,3,3,2,1,4,2,1,1,11,27,27,FALSE,FALSE
219,3,3,0,2,1,1,1,2,1,0,0,0,1,4,2,3,2,3,4,3,1,1,0,11,24,24,FALSE,FALSE
220,3,2,3,2,2,0,1,3,0,2,0,1,2,1,2,2,1,4,2,3,0,1,0,11,18,18,FALSE,FALSE
221,3,0,1,4,3,1,4,2,2,1,4,4,4,3,0,1,2,2,3,3,1,4,4,11,27,27,FALSE,FALSE
222,1,1,2,4,1,3,4,1,3,3,3,0,3,2,0,3,3,1,1,1,3,4,3,11,24,24,FALSE,FALSE
223,1,0,0,3,3,4,0,1,4,4,2,1,4,4,1,1,3,0,0,1,4,0,2,11,20,20,FALSE,FALSE
224,3,0,3,2,1,1,3,0,3,1,1,3,4,1,2,3,4,1,3,3,1,3,1,11,26,26,FALSE,FALSE
225,2,4,2,2,2,4,3,0,1,3,0,0,0,2,2,2,4,3,1,2,4,3,0,11,23,23,FALSE,FALSE
226,3,0,0,0,0,3,0,2,4,4,0,0,4,4,4,4,2,0,0,3,3,0,0,11,24,24,FALSE,FALSE
227,3,3,3,3,1,4,4,1,4,1,2,1,1,1,1,3,3,0,3,3,4,4,2,11,25,25,FALSE,FALSE
228,1,0,4,3,4,4,3,1,2,0,1,4,4,0,1,0,3,2,4,1,4,3,1,11,23,23,FALSE,FALSE
229,0,1,2,2,3,3,4,2,4,1,2,1,3,2,2,1,2,0,3,0,3,4,2,11,22,22,FALSE,FALSE
230,0,4,0,3,4,1,3,0,2,4,1,0,0,4,1,0,4,2,0,0,1,3,1,11,16,16,FALSE,FALSE
231,4,0,0,4,3,1,3,4,3,1,1,4,4,4,0,1,0,1,3,4,1,3,1,11,22,22,FALSE,FALSE
232,4,0,2,1,2,4,0,4,3,4,3,1,4,2,3,2,0,1,0,4,4,0,3,11,23,23,FALSE,FALSE
233,1,3,4,3,2,4,1,4,3,0,1,3,1,0,1,2,0,1,4,1,4,1,1,11,16,16,FALSE,FALSE
234,1,1,3,4,0,4,3,1,2,0,4,0,3,1,0,4,3,2,4,1,4,3,4,11,29,29,FALSE,FALSE
235,1,1,3,2,3,4,3,0,4,3,4,0,3,1,2,1,4,0,1,1,4,3,4,11,24,24,FALSE,FALSE
236,0,1,2,4,3,1,2,2,0,0,2,1,3,2,0,1,2,4,4,0,1,2,2,11,21,21,FALSE,FALSE
237,0,3,4,3,3,4,0,1,2,3,4,0,1,0,1,1,3,2,1,0,4,0,4,11,17,17,FALSE,FALSE
238,0,1,1,1,2,3,3,4,0,4,4,1,3,3,3,2,0,4,0,0,3,3,4,11,25,25,FALSE,FALSE
239,2,3,1,4,4,2,1,3,0,1,3,2,1,3,0,0,1,4,3,2,2,1,3,11,20,20,FALSE,FALSE
240,1,3,4,0,1,0,2,3,0,3,0,0,1,0,4,3,1,4,1,1,0,2,0,11,17,17,FALSE,FALSE
241,3,4,2,0,3,3,2,2,1,4,1,4,0,2,4,1,2,3,0,3,3,2,1,11,21,21,FALSE,FALSE
242,2,3,3,3,4,2,0,4,2,0,0,2,1,1,1,0,0,2,4,2,2,0,0,11,13,13,FALSE,FALSE
243,0,3,1,2,3,0,2,1,0,0,2,2,1,3,2,1,3,4,4,0,0,2,2,11,22,22,FALSE,FALSE
244,2,1,4,2,4,3,1,4,1,0,0,0,3,0,2,0,0,3,4,2,3,1,0,11,18,18,FALSE,FALSE
245,4,1,4,4,1,0,3,2,1,1,2,2,3,0,0,3,2,3,3,4,0,3,2,11,23,23,FALSE,FALSE
246,1,1,1,2,2,1,2,2,0,0,1,0,3,3,2,2,2,4,4,1,1,2,1,11,25,25,FALSE,FALSE
247,3,1,2,0,4,3,0,0,3,4,4,2,3,2,4,0,4,1,0,3,3,0,4,11,24,24,FALSE,FALSE
248,1,1,0,0,1,0,0,1,2,0,3,4,3,4,4,3,3,2,4,1,0,0,3,11,27,27,FALSE,FALSE
249,1,2,3,2,4,2,1,2,1,1,2,3,2,1,2,0,2,3,3,1,2,1,2,11,19,19,FALSE,FALSE
250,0,3,0,4,2,0,4,1,0,0,0,2,1,4,0,2,3,4,4,0,0,4,0,11,22,22,FALSE,FALSE
251,2,4,0,2,1,4,2,4,2,1,4,4,0,4,2,3,0,2,3,2,4,2,4,11,26,26,FALSE,FALSE
252,2,3,2,0,0,1,1,0,1,3,4,2,1,2,4,4,4,3,1,2,1,1,4,11,27,27,FALSE,FALSE
253,0,4,1,0,0,2,4,3,1,2,3,4,0,3,4,4,1,3,2,0,2,4,3,11,26,26,FALSE,FALSE
254,0,3,2,3,2,2,2,2,4,4,3,3,1,2,1,2,2,0,0,0,2,2,3,11,15,15,FALSE,FALSE
255,2,4,4,1,1,3,4,3,4,0,1,1,0,0,3,3,1,0,4,2,3,4,1,11,21,21,FALSE,FALSE
256,2,2,0,1,3,2,0,4,3,1,0,3,2,4,3,1,0,1,3,2,2,0,0,11,18,18,FALSE,FALSE
257,3,4,4,0,3,2,4,2,0,2,3,4,0,0,4,1,2,4,2,3,2,4,3,11,25,25,FALSE,FALSE
258,4,0,3,4,1,1,3,0,0,2,2,2,4,1,0,3,4,4,2,4,1,3,2,11,28,28,FALSE,FALSE
259,1,2,4,0,1,2,0,4,1,1,4,3,2,0,4,3,0,3,3,1,2,0,4,11,22,22,FALSE,FALSE
260,3,3,4,1,2,0,1,3,3,0,2,2,1,0,3,2,1,1,4,3,0,1,2,11,18,18,FALSE,FALSE
261,1,1,3,0,3,3,4,1,4,2,2,3,3,1,4,1,3,0,2,1,3,4,2,11,24,24,FALSE,FALSE
262,0,4,4,2,2,2,3,1,0,2,2,2,0,0,2,2,3,4,2,0,2,3,2,11,20,20,FALSE,FALSE
263,2,0,3,3,0,4,4,0,4,1,0,1,4,1,1,4,4,0,3,2,4,4,0,11,27,27,FALSE,FALSE
264,0,4,3,1,3,3,0,4,3,4,3,1,0,1,3,1,0,1,0,0,3,0,3,11,12,12,FALSE,FALSE
265,0,0,2,0,0,2,1,0,0,3,3,2,4,2,4,4,4,4,1,0,2,1,3,11,29,29,FALSE,FALSE
266,4,3,1,0,3,0,4,4,3,2,0,3,1,3,4,1,0,1,2,4,0,4,0,11,20,20,FALSE,FALSE
267,1,2,4,4,1,1,2,0,2,4,1,1,2,0,0,3,4,2,0,1,1,2,1,11,16,16,FALSE,FALSE
268,1,0,0,1,1,2,4,0,1,3,3,4,4,4,3,3,4,3,1,1,2,4,3,11,32,32,FALSE,FALSE
269,3,4,4,0,0,1,0,2,1,3,3,3,0,0,4,4,2,3,1,3,1,0,3,11,21,21,FALSE,FALSE
270,1,1,3,3,1,1,2,2,3,2,1,2,3,1,1,3,2,1,2,1,1,2,1,11,18,18,FALSE,FALSE
271,0,4,1,1,1,1,3,1,2,2,2,3,0,3,3,3,3,2,2,0,1,3,2,11,22,22,FALSE,FALSE
272,1,3,2,2,1,4,3,3,2,1,3,1,1,2,2,3,1,2,3,1,4,3,3,11,25,25,FALSE,FALSE
273,0,2,2,4,4,4,2,1,3,3,1,3,2,2,0,0,3,1,1,0,4,2,1,11,16,16,FALSE,FALSE
274,4,3,3,3,2,4,3,4,0,3,1,1,1,1,1,2,0,4,1,4,4,3,1,11,22,22,FALSE,FALSE
275,1,3,1,4,4,1,1,2,1,3,4,4,1,3,0,0,2,3,1,1,1,1,4,11,17,17,FALSE,FALSE
276,3,2,4,1,2,4,2,0,2,0,2,0,2,0,3,2,4,2,4,3,4,2,2,11,28,28,FALSE,FALSE
277,0,1,1,4,1,3,3,1,2,3,0,1,3,3,0,3,3,2,1,0,3,3,0,11,21,21,FALSE,FALSE
278,4,2,2,0,0,2,3,0,3,2,4,1,2,2,4,4,4,1,2,4,2,3,4,11,32,32,FALSE,FALSE
279,0,1,2,1,1,4,3,4,3,1,0,1,3,2,3,3,0,1,3,0,4,3,0,11,22,22,FALSE,FALSE
280,1,0,3,0,1,4,4,3,0,2,3,0,4,1,4,3,1,4,2,1,4,4,3,11,31,31,FALSE,FALSE
281,4,1,1,2,2,0,1,0,2,4,3,3,3,3,2,2,4,2,0,4,0,1,3,11,24,24,FALSE,FALSE
282,0,1,3,4,0,0,3,4,1,4,0,0,3,1,0,4,0,3,0,0,0,3,0,11,14,14,FALSE,FALSE
283,1,2,1,2,4,2,1,4,1,4,1,2,2,3,2,0,0,3,0,1,2,1,1,11,15,15,FALSE,FALSE
284,3,4,3,2,4,4,4,0,3,3,0,4,0,1,2,0,4,1,1,3,4,4,0,11,20,20,FALSE,FALSE
285,1,0,4,0,1,3,1,0,0,1,3,0,4,0,4,3,4,4,3,1,3,1,3,11,30,30,FALSE,FALSE
286,3,2,4,2,3,1,0,0,1,0,1,1,2,0,2,1,4,3,4,3,1,0,1,11,21,21,FALSE,FALSE
287,1,2,0,1,0,2,0,4,1,0,2,3,2,4,3,4,0,3,4,1,2,0,2,11,25,25,FALSE,FALSE
288,4,2,1,1,2,1,0,1,0,0,4,4,2,3,3,2,3,4,4,4,1,0,4,11,30,30,FALSE,FALSE
289,0,3,3,4,4,1,1,1,1,3,2,2,1,1,0,0,3,3,1,0,1,1,2,11,13,13,FALSE,FALSE
290,1,2,3,0,0,2,4,1,1,1,0,0,2,1,4,4,3,3,3,1,2,4,0,11,27,27,FALSE,FALSE
291,0,1,0,4,4,1,0,1,2,3,2,3,3,4,0,0,3,2,1,0,1,0,2,11,16,16,FALSE,FALSE
292,1,0,2,1,3,3,2,3,0,3,1,0,4,2,3,1,1,4,1,1,3,2,1,11,23,23,FALSE,FALSE
293,4,2,4,0,4,0,0,0,0,2,1,4,2,0,4,0,4,4,2,4,0,0,1,11,21,21,FALSE,FALSE
294,3,0,4,0,2,2,2,3,1,3,3,2,4,0,4,2,1,3,1,3,2,2,3,11,25,25,FALSE,FALSE
295,1,3,3,0,2,2,4,4,0,2,1,4,1,1,4,2,0,4,2,1,2,4,1,11,22,22,FALSE,FALSE
296,0,2,0,0,1,0,3,2,3,0,2,2,2,4,4,3,2,1,4,0,0,3,2,11,25,25,FALSE,FALSE
297,0,2,2,4,3,2,1,1,2,3,1,1,2,2,0,1,3,2,1,0,2,1,1,11,15,15,FALSE,FALSE
298,3,1,1,4,0,3,2,2,3,4,2,4,3,3,0,4,2,1,0,3,3,2,2,11,23,23,FALSE,FALSE
299,1,1,0,4,2,3,1,4,0,2,3,4,3,4,0,2,0,4,2,1,3,1,3,11,23,23,FALSE,FALSE
300,3,4,1,0,0,3,3,2,1,2,2,0,0,3,4,4,2,3,2,3,3,3,2,11,29,29,FALSE,FALSE
301,2,2,2,2,4,3,3,1,3,1,2,4,2,2,2,0,3,1,3,2,3,3,2,11,23,23,FALSE,FALSE
302,1,4,0,1,4,1,1,2,3,3,1,1,0,4,3,0,2,1,1,1,1,1,1,11,15,15,FALSE,FALSE
303,2,0,3,2,0,1,1,4,1,4,4,1,4,1,2,4,0,3,0,2,1,1,4,11,22,22,FALSE,FALSE
304,2,2,0,4,1,3,0,4,2,0,2,3,2,4,0,3,0,2,4,2,3,0,2,11,22,22,FALSE,FALSE
305,4,0,4,4,4,1,0,4,0,3,3,0,4,0,0,0,0,4,1,4,1,0,3,11,17,17,FALSE,FALSE
306,3,0,1,2,3,0,3,3,3,2,1,1,4,3,2,1,1,1,2,3,0,3,1,11,21,21,FALSE,FALSE
307,0,2,1,3,3,1,3,4,0,3,1,4,2,3,1,1,0,4,1,0,1,3,1,11,17,17,FALSE,FALSE
308,1,0,2,1,1,4,1,3,3,4,1,4,4,2,3,3,1,1,0,1,4,1,1,11,21,21,FALSE,FALSE
309,1,1,1,0,1,0,4,1,4,2,0,3,3,3,4,3,3,0,2,1,0,4,0,11,23,23,FALSE,FALSE
310,4,4,4,4,0,2,4,1,4,0,4,0,0,0,0,4,3,0,4,4,2,4,4,11,25,25,FALSE,FALSE
311,2,4,2,4,3,3,1,4,3,2,1,1,0,2,0,1,0,1,2,2,3,1,1,11,13,13,FALSE,FALSE
312,0,4,3,0,1,1,0,1,1,1,2,1,0,1,4,3,3,3,3,0,1,0,2,11,20,20,FALSE,FALSE
313,0,0,0,0,0,2,0,0,4,0,0,2,4,4,4,4,4,0,4,0,2,0,0,11,26,26,FALSE,FALSE
314,2,0,2,4,2,0,1,4,4,3,2,0,4,2,0,2,0,0,1,2,0,1,2,11,14,14,FALSE,FALSE
315,1,2,3,1,4,1,4,3,1,1,2,4,2,1,3,0,1,3,3,1,1,4,2,11,21,21,FALSE,FALSE
316,1,1,1,1,4,1,0,2,1,0,0,2,3,3,3,0,2,3,4,1,1,0,0,11,20,20,FALSE,FALSE
317,4,4,2,2,0,0,2,1,4,4,0,3,0,2,2,4,3,0,0,4,0,2,0,11,17,17,FALSE,FALSE
318,3,1,4,0,0,1,2,4,2,3,3,0,3,0,4,4,0,2,1,3,1,2,3,11,23,23,FALSE,FALSE
319,3,4,1,4,1,1,1,2,2,2,1,1,0,3,0,3,2,2,2,3,1,1,1,11,18,18,FALSE,FALSE
320,2,4,4,3,2,2,1,3,3,4,0,3,0,0,1,2,1,1,0,2,2,1,0,11,10,10,FALSE,FALSE
321,4,1,0,4,0,0,0,1,0,3,2,0,3,4,0,4,3,4,1,4,0,0,2,11,25,25,FALSE,FALSE
322,1,3,1,2,3,0,3,3,2,1,3,4,1,3,2,1,1,2,3,1,0,3,3,11,20,20,FALSE,FALSE
323,3,1,1,0,0,4,2,0,0,2,0,4,3,3,4,4,4,4,2,3,4,2,0,11,33,33,FALSE,FALSE
324,2,4,2,1,0,4,2,3,4,2,2,1,0,2,3,4,1,0,2,2,4,2,2,11,22,22,FALSE,FALSE
325,1,3,3,3,1,0,3,2,1,4,1,0,1,1,1,3,2,3,0,1,0,3,1,11,16,16,FALSE,FALSE
326,3,3,3,0,1,3,3,2,1,3,0,3,1,1,4,3,2,3,1,3,3,3,0,11,24,24,FALSE,FALSE
327,3,1,0,3,1,1,0,2,1,3,2,1,3,4,1,3,2,3,1,3,1,0,2,11,23,23,FALSE,FALSE
328,2,4,2,3,4,0,3,0,1,0,1,1,0,2,1,0,4,3,4,2,0,3,1,11,20,20,FALSE,FALSE
329,3,2,1,0,3,0,1,3,1,3,0,2,2,3,4,1,1,3,1,3,0,1,0,11,19,19,FALSE,FALSE
330,4,4,1,2,3,2,4,0,2,1,1,4,0,3,2,1,4,2,3,4,2,4,1,11,26,26,FALSE,FALSE
331,2,4,0,0,0,3,1,3,0,1,1,1,0,4,4,4,1,4,3,2,3,1,1,11,27,27,FALSE,FALSE
332,1,4,4,1,3,3,2,2,4,0,1,3,0,0,3,1,2,0,4,1,3,2,1,11,17,17,FALSE,FALSE
333,1,3,2,1,3,1,0,4,0,2,2,3,1,2,3,1,0,4,2,1,1,0,2,11,17,17,FALSE,FALSE
334,4,4,2,0,3,0,3,1,4,3,3,0,0,2,4,1,3,0,1,4,0,3,3,11,21,21,FALSE,FALSE
335,4,1,1,2,3,1,3,2,4,1,0,1,3,3,2,1,2,0,3,4,1,3,0,11,22,22,FALSE,FALSE
336,1,1,2,1,1,4,0,3,0,3,1,2,3,2,3,3,1,4,1,1,4,0,1,11,23,23,FALSE,FALSE
337,0,4,3,2,1,4,2,2,1,3,0,0,0,1,2,3,2,3,1,0,4,2,0,11,18,18,FALSE,FALSE
338,3,1,3,0,1,1,2,0,3,2,0,3,3,1,4,3,4,1,2,3,1,2,0,11,24,24,FALSE,FALSE
339,0,3,0,0,2,4,3,3,2,3,4,4,1,4,4,2,1,2,1,0,4,3,4,11,26,26,FALSE,FALSE
340,3,3,0,4,0,4,4,1,2,0,0,0,1,4,0,4,3,2,4,3,4,4,0,11,29,29,FALSE,FALSE
341,0,4,4,1,1,3,4,1,4,4,3,1,0,0,3,3,3,0,0,0,3,4,3,11,19,19,FALSE,FALSE
342,4,0,0,4,4,1,2,3,3,0,2,4,4,4,0,0,1,1,4,4,1,2,2,11,23,23,FALSE,FALSE
343,4,1,4,0,3,0,3,3,0,4,0,2,3,0,4,1,1,4,0,4,0,3,0,11,20,20,FALSE,FALSE
344,1,2,4,4,1,0,3,4,0,4,1,2,2,0,0,3,0,4,0,1,0,3,1,11,14,14,FALSE,FALSE
345,4,0,2,1,4,1,0,1,1,2,4,0,4,2,3,0,3,3,2,4,1,0,4,11,26,26,FALSE,FALSE
346,3,0,2,3,0,1,4,2,4,3,0,4,4,2,1,4,2,0,1,3,1,4,0,11,22,22,FALSE,FALSE
347,1,1,3,1,3,4,3,3,4,3,0,3,3,1,3,1,1,0,1,1,4,3,0,11,18,18,FALSE,FALSE
348,1,2,4,2,3,0,3,0,4,4,1,4,2,0,2,1,4,0,0,1,0,3,1,11,14,14,FALSE,FALSE
349,2,4,0,3,3,1,3,4,4,0,3,3,0,4,1,1,0,0,4,2,1,3,3,11,19,19,FALSE,FALSE
350,4,0,4,1,3,1,0,2,0,0,0,3,4,0,3,1,2,4,4,4,1,0,0,11,23,23,FALSE,FALSE
351,1,4,0,3,1,1,0,1,2,0,3,3,0,4,1,3,3,2,4,1,1,0,3,11,22,22,FALSE,FALSE
352,3,2,2,3,4,2,0,0,0,1,0,3,2,2,1,0,4,4,3,3,2,0,0,11,21,21,FALSE,FALSE
353,4,2,3,0,0,4,0,2,4,3,2,4,2,1,4,4,2,0,1,4,4,0,2,11,24,24,FALSE,FALSE
354,0,0,2,4,0,2,1,0,0,3,4,1,4,2,0,4,4,4,1,0,2,1,4,11,26,26,FALSE,FALSE
355,2,2,4,4,2,0,1,4,1,0,1,1,2,0,0,2,0,3,4,2,0,1,1,11,15,15,FALSE,FALSE
356,4,0,3,1,2,0,2,0,1,3,4,4,4,1,3,2,4,3,1,4,0,2,4,11,28,28,FALSE,FALSE
357,4,0,2,2,3,2,1,0,2,4,0,4,4,2,2,1,4,2,0,4,2,1,0,11,22,22,FALSE,FALSE
358,4,3,2,4,2,0,0,3,0,0,0,2,1,2,0,2,1,4,4,4,0,0,0,11,18,18,FALSE,FALSE
359,4,3,3,0,4,2,0,4,4,0,4,3,1,1,4,0,0,0,4,4,2,0,4,11,20,20,FALSE,FALSE
360,3,0,4,2,1,1,3,3,2,4,4,1,4,0,2,3,1,2,0,3,1,3,4,11,23,23,FALSE,FALSE
361,0,0,3,2,3,3,2,4,1,1,0,4,4,1,2,1,0,3,3,0,3,2,0,11,19,19,FALSE,FALSE
362,0,2,0,3,2,1,4,2,3,4,3,2,2,4,1,2,2,1,0,0,1,4,3,11,20,20,FALSE,FALSE
363,1,1,4,4,2,1,3,2,1,4,2,1,3,0,0,2,2,3,0,1,1,3,2,11,17,17,FALSE,FALSE
364,1,3,0,2,3,4,2,3,0,0,0,4,1,4,2,1,1,4,4,1,4,2,0,11,24,24,FALSE,FALSE
365,2,0,2,2,3,0,3,0,1,4,3,1,4,2,2,1,4,3,0,2,0,3,3,11,24,24,FALSE,FALSE
366,4,0,4,3,0,1,0,4,3,4,0,3,4,0,1,4,0,1,0,4,1,0,0,11,15,15,FALSE,FALSE
367,3,2,0,2,0,3,2,0,4,2,1,0,2,4,2,4,4,0,2,3,3,2,1,11,27,27,FALSE,FALSE
368,1,0,3,2,4,1,2,2,1,0,3,1,4,1,2,0,2,3,4,1,1,2,3,11,23,23,FALSE,FALSE
369,0,3,1,4,2,1,2,4,0,3,1,1,1,3,0,2,0,4,1,0,1,2,1,11,15,15,FALSE,FALSE
370,0,1,0,4,0,3,0,0,0,0,4,3,3,4,0,4,4,4,4,0,3,0,4,11,30,30,FALSE,FALSE
371,0,4,2,0,0,2,2,1,1,3,0,0,0,2,4,4,3,3,1,0,2,2,0,11,21,21,FALSE,FALSE
372,0,3,4,2,1,4,2,2,0,2,4,0,1,0,2,3,2,4,2,0,4,2,4,11,24,24,FALSE,FALSE
373,4,1,2,4,0,1,3,3,0,1,4,2,3,2,0,4,1,4,3,4,1,3,4,11,29,29,FALSE,FALSE
374,1,2,4,3,2,2,3,4,3,3,2,0,2,0,1,2,0,1,1,1,2,3,2,11,15,15,FALSE,FALSE
375,3,0,2,3,4,4,3,4,1,3,0,3,4,2,1,0,0,3,1,3,4,3,0,11,21,21,FALSE,FALSE
376,1,3,1,3,4,3,3,0,1,0,3,3,1,3,1,0,4,3,4,1,3,3,3,11,26,26,FALSE,FALSE
377,3,2,2,3,4,1,0,4,0,1,2,2,2,2,1,0,0,4,3,3,1,0,2,11,18,18,FALSE,FALSE
378,1,2,4,1,1,3,1,4,2,1,2,4,2,0,3,3,0,2,3,1,3,1,2,11,20,20,FALSE,FALSE
379,4,0,4,2,3,3,3,4,0,3,1,0,4,0,2,1,0,4,1,4,3,3,1,11,23,23,FALSE,FALSE
380,1,0,0,0,0,0,0,3,0,2,2,2,4,4,4,4,1,4,2,1,0,0,2,11,26,26,FALSE,FALSE
381,0,0,2,3,4,3,1,0,3,0,2,3,4,2,1,0,4,1,4,0,3,1,2,11,22,22,FALSE,FALSE
382,2,4,0,1,2,0,4,0,4,2,0,3,0,4,3,2,4,0,2,2,0,4,0,11,21,21,FALSE,FALSE
383,1,2,4,0,0,4,2,3,1,2,0,2,2,0,4,4,1,3,2,1,4,2,0,11,23,23,FALSE,FALSE
384,1,1,2,3,0,0,0,0,2,3,4,0,3,2,1,4,4,2,1,1,0,0,4,11,22,22,FALSE,FALSE
385,2,3,3,4,1,3,3,4,4,0,4,1,1,1,0,3,0,0,4,2,3,3,4,11,21,21,FALSE,FALSE
386,0,0,0,1,4,0,4,0,4,0,0,2,4,4,3,0,4,0,4,0,0,4,0,11,23,23,FALSE,FALSE
387,0,3,2,4,0,2,3,3,3,3,0,2,1,2,0,4,1,1,1,0,2,3,0,11,15,15,FALSE,FALSE
388,1,3,3,1,0,4,0,2,2,4,2,1,1,1,3,4,2,2,0,1,4,0,2,11,20,20,FALSE,FALSE
389,3,1,3,1,2,1,4,2,0,1,1,4,3,1,3,2,2,4,3,3,1,4,1,11,27,27,FALSE,FALSE
390,0,3,3,2,4,2,4,0,4,2,2,3,1,1,2,0,4,0,2,0,2,4,2,11,18,18,FALSE,FALSE
391,3,0,1,4,0,0,0,3,0,1,3,2,4,3,0,4,1,4,3,3,0,0,3,11,25,25,FALSE,FALSE
392,3,4,4,2,4,4,3,4,2,1,3,3,0,0,2,0,0,2,3,3,4,3,3,11,20,20,FALSE,FALSE
393,0,4,1,3,1,1,1,1,0,2,2,2,0,3,1,3,3,4,2,0,1,1,2,11,20,20,FALSE,FALSE
394,2,1,3,2,0,2,1,3,1,3,2,0,3,1,2,4,1,3,1,2,2,1,2,11,22,22,FALSE,FALSE
395,0,2,1,4,1,0,4,3,2,2,0,3,2,3,0,3,1,2,2,0,0,4,0,11,17,17,FALSE,FALSE
396,0,1,2,0,3,1,2,1,4,0,4,2,3,2,4,1,3,0,4,0,1,2,4,11,24,24,FALSE,FALSE
397,0,1,2,1,3,0,1,4,4,2,4,1,3,2,3,1,0,0,2,0,0,1,4,11,16,16,FALSE,FALSE
398,1,0,3,2,0,0,2,3,4,1,0,2,4,1,2,4,1,0,3,1,0,2,0,11,18,18,FALSE,FALSE
399,1,0,1,4,1,3,4,1,1,0,2,2,4,3,0,3,3,3,4,1,3,4,2,11,30,30,FALSE,FALSE
400,3,4,3,0,4,1,0,2,2,2,2,1,0,1,4,0,2,2,2,3,1,0,2,11,17,17,FALSE,FALSE
401,2,4,2,0,2,2,1,1,3,4,3,3,0,2,4,2,3,1,0,2,2,1,3,11,20,20,FALSE,FALSE
402,2,3,3,1,2,4,2,4,0,2,3,4,1,1,3,2,0,4,2,2,4,2,3,11,24,24,FALSE,FALSE
403,1,0,2,2,1,2,3,0,2,4,3,3,4,2,2,3,4,2,0,1,2,3,3,11,26,26,FALSE,FALSE
404,3,4,4,4,0,3,4,4,3,2,2,1,0,0,0,4,0,1,2,3,3,4,2,11,19,19,FALSE,FALSE
405,2,4,4,1,0,1,3,2,3,3,0,3,0,0,3,4,2,1,1,2,1,3,0,11,17,17,FALSE,FALSE
406,2,1,3,0,3,0,4,3,0,0,1,1,3,1,4,1,1,4,4,2,0,4,1,11,25,25,FALSE,FALSE
407,1,0,2,3,3,3,4,2,1,3,0,2,4,2,1,1,2,3,1,1,3,4,0,11,22,22,FALSE,FALSE
408,0,2,0,0,2,4,4,4,4,4,0,1,2,4,4,2,0,0,0,0,4,4,0,11,20,20,FALSE,FALSE
409,1,1,0,1,2,0,1,3,1,3,4,2,3,4,3,2,1,3,1,1,0,1,4,11,23,23,FALSE,FALSE
410,0,3,1,3,0,2,0,2,4,0,2,3,1,3,1,4,2,0,4,0,2,0,2,11,19,19,FALSE,FALSE
411,4,3,1,3,4,3,1,4,4,1,4,1,1,3,1,0,0,0,3,4,3,1,4,11,20,20,FALSE,FALSE
412,0,1,4,3,3,3,0,3,1,1,1,3,3,0,1,1,1,3,3,0,3,0,1,11,16,16,FALSE,FALSE
413,4,2,0,1,4,2,4,2,3,1,4,2,2,4,3,0,2,1,3,4,2,4,4,11,29,29,FALSE,FALSE
414,0,3,4,4,4,1,2,2,0,3,0,1,1,0,0,0,2,4,1,0,1,2,0,11,11,11,FALSE,FALSE
415,1,1,1,4,0,3,1,1,1,4,4,0,3,3,0,4,3,3,0,1,3,1,4,11,25,25,FALSE,FALSE
416,4,0,4,0,4,1,0,3,2,4,1,3,4,0,4,0,1,2,0,4,1,0,1,11,17,17,FALSE,FALSE
417,1,3,1,1,4,3,0,1,4,0,4,1,1,3,3,0,3,0,4,1,3,0,4,11,22,22,FALSE,FALSE
418,4,4,3,2,2,3,0,0,2,1,3,2,0,1,2,2,4,2,3,4,3,0,3,11,24,24,FALSE,FALSE
419,0,1,4,0,4,1,0,1,2,1,1,3,3,0,4,0,3,2,3,0,1,0,1,11,17,17,FALSE,FALSE
420,3,4,0,4,3,4,2,0,2,3,0,3,0,4,0,1,4,2,1,3,4,2,0,11,21,21,FALSE,FALSE
421,2,3,2,0,0,0,4,4,3,2,0,0,1,2,4,4,0,1,2,2,0,4,0,11,20,20,FALSE,FALSE
422,1,1,2,2,4,1,4,2,4,0,1,0,3,2,2,0,2,0,4,1,1,4,1,11,20,20,FALSE,FALSE
423,4,2,2,0,0,2,2,2,0,2,1,1,2,2,4,4,2,4,2,4,2,2,1,11,29,29,FALSE,FALSE
424,4,4,0,2,1,4,4,0,4,0,0,0,0,4,2,3,4,0,4,4,4,4,0,11,29,29,FALSE,FALSE
