"ID","COST_FT1","COST_FT2","COST_FT3","COST_FT4","COST_FT5","COST_FT6","COST_FT7","COST_FT8","COST_FT9","COST_FT10","COST_FT11"
577,3,2,2,3,2,2,3,3,3,3,2
578,4,2,1,0,2,3,1,2,2,3,3
579,2,2,2,4,3,4,2,3,4,3,3
580,2,2,2,3,2,2,2,2,2,1,3
581,2,2,2,1,3,2,3,2,3,0,1
582,3,3,4,3,2,2,4,1,3,2,3
583,3,4,2,1,2,3,3,3,3,1,4
584,1,3,3,4,4,2,1,4,4,4,0
585,4,4,4,4,4,4,4,4,4,4,4
586,3,2,2,2,2,1,1,2,1,2,1
587,2,1,2,2,2,0,1,2,2,1,2
588,3,1,2,2,4,2,4,2,2,3,2
589,1,3,3,2,4,1,0,1,3,1,1
590,1,1,0,4,2,2,1,2,1,1,2
591,3,1,1,1,1,3,1,1,1,0,2
592,3,2,4,3,2,2,2,2,2,2,2
593,4,4,2,4,3,2,2,3,3,3,2
594,1,1,4,0,2,4,2,4,2,3,2
595,2,2,0,0,1,1,3,0,1,2,1
596,0,4,2,2,3,1,3,3,2,3,2
597,0,0,1,2,2,1,0,0,3,2,0
598,3,1,3,3,2,0,2,1,2,2,2
599,0,3,2,2,2,0,0,0,4,2,0
600,2,1,0,0,0,2,1,0,1,1,3
601,3,2,3,3,2,4,2,2,2,2,4
602,1,3,3,3,2,1,0,1,3,3,0
603,0,2,2,1,0,3,2,1,3,2,4
604,2,3,3,2,3,1,2,3,4,4,1
605,2,1,1,1,0,3,1,2,0,0,2
606,2,2,4,1,2,0,2,3,3,2,3
607,4,0,1,3,1,1,2,1,2,1,1
608,2,2,0,2,1,2,2,1,2,1,3
609,0,1,3,0,1,0,2,1,3,1,1
610,4,2,2,1,3,4,4,3,3,3,4
611,2,2,2,3,2,2,4,4,4,1,3
612,1,2,2,2,1,1,3,0,0,0,2
613,3,4,4,3,4,4,2,3,4,4,2
614,3,1,2,0,0,3,3,1,1,1,2
615,1,3,4,3,2,1,0,1,3,4,1
616,1,3,1,0,0,1,1,0,0,1,0
617,4,1,2,3,1,2,2,0,2,2,3
618,0,1,1,2,1,2,0,2,3,2,0
619,2,3,3,2,3,2,2,2,3,2,3
620,2,4,3,3,3,1,0,2,4,2,1
621,0,4,4,2,4,1,1,1,3,4,2
622,1,1,2,1,1,1,0,1,2,0,2
623,0,0,0,0,0,2,1,1,0,0,1
624,2,3,3,3,4,2,1,3,1,2,2
625,4,2,2,2,1,3,2,3,1,2,3
626,4,3,3,4,3,3,3,4,4,3,2
627,4,0,2,1,1,2,3,2,0,0,2
628,4,3,2,3,2,4,2,3,2,2,3
629,4,2,1,2,2,4,2,2,3,2,2
630,0,1,2,0,3,2,1,1,1,2,0
631,2,0,0,0,0,1,1,0,0,0,0
632,2,1,1,0,0,3,0,1,1,0,1
633,0,4,4,4,3,1,2,2,4,3,1
634,3,2,2,3,2,3,1,4,1,2,2
635,2,0,0,1,0,2,1,1,0,0,2
636,3,1,1,4,2,3,3,1,0,0,1
637,2,1,0,0,1,2,0,1,2,1,1
638,2,3,4,3,3,0,1,3,4,4,2
639,0,2,2,3,1,2,3,2,3,2,1
640,2,1,0,2,1,2,2,1,2,1,2
641,2,3,3,1,2,3,3,2,3,3,3
642,3,0,1,3,3,2,3,0,1,2,2
643,4,3,4,3,2,4,4,3,4,2,4
644,0,2,0,3,2,1,1,0,1,2,3
645,0,0,2,2,3,0,0,2,1,2,0
646,0,0,2,3,1,1,0,1,2,4,1
647,3,0,0,0,1,4,3,1,1,0,2
648,1,1,2,1,1,1,1,0,4,2,3
649,1,0,0,1,2,2,0,1,1,0,1
650,1,2,4,1,3,0,2,2,3,4,2
651,0,4,2,4,4,1,4,3,1,3,2
652,1,4,3,4,3,2,1,3,4,3,0
653,2,1,1,1,1,3,4,2,2,2,3
654,0,2,3,2,2,0,1,1,2,1,0
655,2,2,2,1,3,4,1,1,0,2,2
656,3,3,4,4,4,4,3,4,4,3,3
657,1,2,2,0,4,0,1,0,4,3,1
658,2,4,4,4,4,3,2,4,4,4,0
659,3,2,4,2,2,3,3,3,3,3,3
660,1,4,2,1,2,0,0,0,1,1,0
661,1,0,1,2,0,2,3,1,0,0,1
662,2,2,2,2,2,2,2,1,3,2,3
663,4,1,1,2,2,3,3,2,2,2,3
664,1,2,2,2,2,0,0,1,1,1,1
665,0,2,2,2,1,0,0,2,4,3,0
666,3,3,4,3,4,1,2,4,2,3,2
667,2,1,2,2,3,2,2,2,4,1,3
668,2,3,2,1,1,1,1,1,3,1,2
669,4,0,0,1,0,1,2,0,0,0,2
670,3,0,0,0,0,3,2,2,0,0,2
671,0,0,0,0,0,0,0,0,0,1,0
672,1,1,1,1,0,2,2,2,3,2,1
673,0,1,3,2,2,1,0,1,0,2,1
674,1,1,3,2,2,0,2,2,3,3,0
675,2,2,1,1,3,2,0,2,1,2,0
676,1,4,4,2,4,2,3,2,2,4,1
677,0,1,2,1,2,0,0,1,0,2,0
678,4,3,4,3,3,4,3,4,3,3,3
679,0,1,1,0,0,1,1,1,2,2,0
680,2,0,1,2,1,2,2,1,1,1,3
681,4,3,4,3,4,4,4,4,3,3,4
682,1,0,0,0,0,1,1,3,1,0,4
683,1,2,2,2,3,2,2,1,2,2,2
684,0,0,1,2,3,0,1,0,1,2,1
685,0,3,4,1,3,3,2,2,3,4,2
686,2,2,3,2,3,1,1,3,3,3,1
687,0,1,0,0,1,0,0,1,1,1,1
688,2,1,0,0,1,2,2,2,1,2,0
689,0,0,0,1,2,2,1,0,0,2,0
690,2,4,4,3,2,2,2,4,2,3,2
691,2,1,3,3,4,1,3,3,3,3,2
692,1,2,1,1,2,3,3,1,0,0,1
693,3,0,0,0,0,3,2,0,1,0,2
694,2,0,0,0,0,2,1,0,0,0,1
695,4,1,1,1,1,4,3,3,0,2,4
696,2,0,2,1,1,2,4,0,0,0,2
697,3,4,3,1,2,2,2,3,2,3,3
698,4,4,4,4,4,3,4,4,4,4,4
699,3,2,3,2,2,4,4,4,3,2,4
700,2,1,1,1,2,1,1,1,1,1,2
701,3,3,2,4,2,4,4,2,0,4,4
702,3,1,1,1,0,4,1,1,2,0,1
703,4,2,2,2,2,3,2,3,3,2,3
704,4,1,0,1,1,4,3,2,1,0,4
705,2,2,3,2,3,2,3,1,1,3,3
706,0,2,3,4,4,1,0,4,4,2,1
707,1,2,1,1,2,2,1,1,4,1,3
708,4,2,2,3,2,2,4,3,2,2,4
709,0,0,0,1,0,0,1,0,1,0,2
710,2,3,4,2,2,0,2,1,2,2,2
711,2,3,4,2,2,2,3,2,4,2,1
712,2,3,2,2,2,2,2,3,2,1,4
713,2,2,1,0,2,4,3,2,1,1,3
714,4,4,3,3,3,4,4,3,3,3,4
715,1,2,4,3,1,0,0,2,2,3,1
716,2,3,2,4,1,0,1,1,4,2,2
717,1,2,1,3,1,3,3,2,1,1,3
718,4,4,4,4,4,4,4,4,4,4,4
719,2,1,2,2,2,1,1,0,2,2,1
720,2,3,4,4,4,1,0,3,4,4,2
721,3,4,4,4,4,2,3,3,3,4,2
722,2,1,0,0,1,2,2,1,0,0,2
723,3,3,3,4,2,3,3,3,4,4,2
724,4,3,2,2,2,4,2,2,1,3,3
725,3,3,3,3,3,4,3,4,4,4,4
726,0,0,1,0,0,1,1,0,0,0,0
727,1,2,1,1,2,0,2,1,2,2,0
728,1,2,2,3,2,2,4,2,1,1,2
729,2,3,3,3,4,2,2,2,1,2,1
730,2,4,1,1,3,1,1,3,2,0,2
731,0,4,3,3,3,0,1,2,3,3,0
732,2,3,3,4,2,2,2,2,3,3,4
733,2,4,3,4,3,2,2,2,3,3,2
734,4,3,3,4,4,4,3,4,2,4,4
735,3,2,0,2,2,4,3,4,4,3,3
736,0,0,1,0,1,1,1,0,1,2,0
737,0,1,2,1,2,1,0,1,1,1,0
738,3,2,4,4,4,4,4,4,4,2,4
739,2,2,1,3,1,2,1,1,0,0,3
740,1,2,2,3,2,2,3,3,1,2,1
741,1,2,4,2,4,3,1,3,3,2,2
742,2,3,4,3,3,4,1,4,4,3,0
743,2,3,0,1,2,0,1,2,1,0,2
744,3,1,3,2,1,1,0,2,0,1,1
745,1,1,3,2,2,1,3,2,4,4,2
746,1,2,1,2,1,2,2,1,2,2,1
747,1,1,2,1,2,4,4,2,3,1,2
748,2,1,1,2,3,1,1,1,2,2,1
749,3,0,0,0,0,2,1,1,0,0,3
750,2,2,2,3,4,1,1,3,3,4,2
751,1,2,4,4,3,3,2,2,2,3,2
752,2,3,2,3,2,2,0,3,4,1,2
753,0,3,4,4,4,1,1,2,4,3,2
754,4,2,1,2,2,2,2,2,0,2,2
755,2,3,2,2,2,2,1,2,1,1,1
756,0,0,0,0,0,1,0,0,0,0,1
757,4,2,2,2,1,4,4,2,2,3,2
758,3,3,4,4,4,2,2,1,4,4,3
759,4,2,2,3,2,3,3,3,1,2,3
760,2,4,4,4,4,4,3,4,4,2,1
761,1,4,2,1,2,2,1,2,2,4,0
762,1,1,3,1,2,2,4,1,0,2,2
763,2,4,2,4,2,3,2,3,3,3,3
764,0,3,3,2,1,1,3,2,2,4,1
765,2,3,4,2,3,3,2,4,3,4,3
766,2,3,2,1,2,4,1,2,3,2,2
767,2,3,2,1,3,0,2,4,2,3,2
768,1,2,4,4,2,1,1,2,2,3,1
769,2,3,2,2,2,1,3,2,2,3,2
770,3,2,4,3,4,1,3,4,3,4,2
771,4,4,4,4,3,2,3,4,1,4,3
772,2,1,0,0,1,1,2,1,0,0,3
773,3,0,0,1,0,2,1,3,0,1,4
774,4,3,4,3,3,4,3,4,4,3,4
775,2,0,2,1,1,3,3,0,2,2,2
776,3,3,4,4,3,3,4,4,1,3,4
777,0,3,2,1,0,1,1,1,1,2,0
778,3,4,3,3,4,1,4,4,3,4,4
779,1,1,2,1,1,0,3,1,1,2,0
780,3,0,0,0,1,4,3,1,0,1,2
781,2,3,3,3,4,1,0,2,4,4,2
782,1,1,2,0,1,2,2,2,0,2,2
783,0,2,1,4,3,0,0,2,1,2,0
784,1,0,0,0,0,1,2,0,1,0,2
785,2,4,4,4,3,1,0,2,2,3,0
786,2,3,2,2,0,1,0,0,1,3,2
787,3,3,2,4,3,4,4,4,3,4,4
788,3,4,2,1,4,4,2,3,3,4,4
789,3,0,0,1,1,1,0,1,0,0,1
790,0,0,0,0,0,1,0,0,0,0,1
791,0,1,1,0,0,0,0,0,0,0,0
792,3,2,1,0,1,4,3,3,1,1,4
793,0,2,1,1,0,2,1,1,0,1,4
794,3,2,3,3,2,4,4,3,0,3,3
795,4,1,1,0,0,4,2,0,1,1,4
796,1,0,0,1,0,1,3,0,0,0,0
797,0,3,0,1,1,0,0,1,3,2,0
798,3,1,1,3,1,2,3,2,1,0,3
799,1,4,4,4,4,4,3,4,4,4,2
800,0,4,4,4,4,2,2,4,4,3,2
801,3,1,0,1,0,2,1,0,0,0,2
802,2,1,1,3,3,3,3,2,1,1,2
803,0,0,0,1,0,1,1,0,0,1,1
804,3,0,0,0,1,3,1,0,1,1,2
805,0,3,4,4,3,1,2,3,3,4,1
806,1,1,2,1,2,1,2,3,2,2,0
807,4,3,3,2,3,4,1,3,3,3,4
808,1,2,2,4,3,3,2,1,3,2,1
809,2,1,2,2,0,4,2,2,1,2,3
810,4,3,4,4,4,4,4,4,4,4,4
811,0,2,3,2,2,1,2,2,3,3,1
812,3,1,2,1,3,4,1,3,2,2,4
813,4,4,4,4,4,4,4,4,4,4,4
814,0,0,3,3,0,1,0,2,3,1,4
815,4,2,3,2,2,4,4,3,2,4,4
816,0,0,0,0,1,1,1,1,0,0,1
817,4,0,2,0,0,3,3,1,0,1,4
818,2,2,2,3,3,0,1,1,3,2,0
819,2,1,3,0,1,0,1,0,1,2,0
820,1,3,1,4,1,2,2,2,1,1,2
821,3,4,4,4,4,4,4,4,3,4,4
822,2,3,2,1,2,1,1,1,1,3,1
823,3,0,0,0,1,3,1,2,1,2,1
824,3,3,3,4,2,3,3,4,3,2,3
825,2,1,2,0,1,2,2,0,2,0,3
826,2,2,3,2,2,2,4,2,3,2,3
827,2,2,3,2,3,4,1,2,2,4,3
828,3,2,1,2,1,2,2,1,1,1,2
829,2,2,2,1,2,2,1,1,3,0,1
830,4,3,2,4,3,4,4,3,3,2,3
831,2,1,1,2,2,1,2,1,3,2,2
832,3,4,3,3,4,4,4,4,3,4,4
833,2,2,2,3,3,2,2,3,2,2,2
834,0,4,2,3,2,1,2,0,3,2,2
835,0,0,2,1,2,0,0,3,1,3,2
836,0,0,0,0,0,0,0,0,1,0,0
837,0,0,0,0,0,0,0,0,0,1,0
838,1,4,3,3,1,0,2,3,3,1,1
839,4,2,0,1,0,3,0,0,1,1,1
840,4,4,4,3,4,4,4,3,4,3,4
841,1,2,3,2,2,3,3,2,1,2,2
842,2,2,0,2,3,3,2,1,2,0,2
843,2,4,2,3,4,2,3,4,3,3,4
844,1,2,1,2,0,1,0,2,3,0,2
845,2,1,0,2,0,4,4,2,1,2,4
846,2,2,3,3,3,2,1,2,2,2,3
847,3,4,2,4,1,2,1,2,3,3,2
848,3,0,3,1,2,1,2,2,2,2,2
849,3,2,2,0,0,3,2,1,2,1,3
850,1,3,2,1,1,3,0,2,2,1,2
851,4,2,2,2,1,4,4,3,1,4,4
852,2,4,4,2,4,2,0,3,2,2,1
853,0,1,1,1,1,0,2,2,1,1,1
854,0,1,0,0,1,2,4,0,0,1,2
855,1,1,0,2,2,2,4,3,1,0,1
856,2,4,3,3,2,2,1,4,3,3,3
857,3,2,1,0,0,0,2,2,1,1,2
858,2,3,1,4,3,2,1,1,2,2,2
859,1,2,2,3,2,1,3,3,2,3,2
860,0,0,0,0,0,0,0,0,0,0,0
861,1,1,0,0,0,0,0,0,2,1,1
862,4,4,3,4,4,3,2,4,4,4,4
863,1,2,2,1,2,2,2,3,2,0,3
864,2,2,2,2,3,1,2,2,2,2,0
865,0,3,3,3,2,1,3,4,4,2,1
866,4,3,3,1,2,2,1,3,4,4,2
867,0,0,2,1,1,1,1,2,0,2,0
868,0,3,2,2,2,2,4,3,3,3,2
869,1,3,2,4,4,3,3,4,1,2,4
870,2,1,4,3,2,2,2,2,2,3,1
871,3,2,3,2,1,2,1,2,1,1,0
872,1,1,3,1,2,3,2,2,2,2,2
873,1,1,1,1,1,1,0,0,2,2,0
874,3,1,1,2,2,2,3,2,1,1,3
875,2,2,3,3,2,1,0,1,3,1,3
876,2,1,2,0,1,2,3,1,1,1,2
877,1,1,4,2,3,1,0,2,4,3,2
878,2,3,3,3,2,2,1,3,1,2,2
879,3,2,4,4,4,2,2,3,2,4,1
880,2,0,0,1,0,2,2,0,0,0,1
881,1,0,2,2,3,3,4,2,2,3,0
882,3,4,3,4,4,2,3,4,4,2,4
883,1,2,2,3,1,3,3,1,2,0,3
884,1,1,0,1,0,1,1,0,0,1,0
885,2,2,1,4,1,2,1,1,2,1,3
886,2,4,4,2,4,3,4,3,4,2,4
887,1,1,1,3,2,0,1,1,1,2,2
888,1,2,3,2,2,3,3,2,0,2,2
889,2,2,2,2,2,2,0,2,0,1,0
890,2,4,3,2,3,4,3,3,1,3,3
891,4,1,3,4,4,4,3,4,4,4,3
892,3,0,2,1,1,2,3,1,1,3,1
893,3,3,3,2,2,2,4,2,3,2,4
894,0,2,2,3,2,3,0,2,2,4,1
895,2,3,4,4,4,4,2,4,4,4,3
896,4,1,3,3,3,4,2,3,2,4,3
897,0,1,0,2,1,1,2,1,1,1,0
898,1,2,1,2,1,0,1,1,3,0,1
899,0,4,4,2,4,0,1,3,2,4,0
900,2,0,0,1,0,2,2,1,0,1,1
901,3,4,1,3,3,1,2,2,3,1,4
902,1,2,2,2,1,2,2,0,1,1,3
903,3,0,1,1,1,1,2,0,1,1,2
904,3,2,4,4,4,4,3,3,3,1,4
905,4,3,2,3,0,4,2,2,1,1,4
906,4,4,1,2,2,3,4,3,4,3,3
907,0,1,2,2,3,1,2,2,2,3,2
908,3,3,4,2,3,0,4,2,2,4,3
909,0,1,0,1,0,0,1,0,2,1,2
910,0,0,1,0,2,1,1,0,0,1,1
911,4,2,3,0,3,4,4,4,2,3,3
912,2,0,0,1,0,4,3,1,0,0,3
913,3,3,2,3,2,3,2,3,2,2,3
914,4,1,2,2,3,4,4,3,3,3,4
915,4,0,0,1,0,4,4,1,0,0,3
916,0,2,2,3,0,2,1,2,0,2,2
917,0,0,0,0,0,0,1,0,0,0,0
918,2,1,2,2,2,2,2,2,4,3,2
919,2,2,3,0,2,2,2,1,2,2,1
920,4,4,2,4,3,3,3,2,3,3,3
921,0,1,2,3,3,1,1,1,3,1,1
922,2,0,1,0,0,3,2,1,0,1,2
923,2,3,3,1,2,2,2,2,3,3,1
924,3,3,3,1,2,2,2,2,2,4,0
925,3,2,2,3,1,4,4,3,1,1,4
926,1,3,0,0,2,1,2,1,0,1,2
927,4,3,2,2,1,2,2,3,2,0,2
928,3,1,3,2,1,3,3,4,2,2,4
929,3,1,1,2,1,3,4,2,3,0,3
930,3,2,3,0,3,3,4,4,4,3,4
931,0,1,1,0,1,2,0,0,0,0,1
932,2,3,2,1,1,4,2,3,3,2,4
933,3,4,3,2,4,3,2,4,2,3,3
934,1,2,1,0,3,0,1,1,0,1,0
935,4,2,0,3,0,3,2,2,1,2,3
936,2,2,1,1,2,2,3,2,2,1,1
937,1,2,1,2,1,1,2,2,2,2,3
938,2,2,1,1,1,3,2,2,1,2,1
939,0,0,2,2,2,0,2,1,1,4,1
940,4,4,3,3,3,4,4,3,4,4,3
941,4,1,1,0,2,2,3,1,1,2,4
942,0,1,2,1,1,0,1,1,0,2,0
943,0,1,3,0,2,2,1,1,0,0,1
944,1,0,2,3,3,2,2,2,2,2,1
945,1,1,0,0,1,3,3,1,0,0,2
946,2,4,2,2,3,4,4,4,1,2,3
947,3,2,2,2,3,1,1,0,2,1,1
948,1,3,4,4,3,3,2,2,2,2,0
949,2,2,0,0,0,3,2,1,1,1,2
950,1,0,0,1,0,2,1,0,0,1,2
951,3,3,2,2,2,0,1,1,2,2,2
952,1,2,0,0,1,1,1,1,1,2,1
953,2,2,4,1,2,2,3,2,0,1,3
954,4,4,3,4,4,2,4,4,4,3,4
955,1,2,3,3,1,1,2,2,3,1,3
956,0,4,2,3,4,0,0,1,3,4,1
957,2,0,0,1,0,0,0,0,0,0,1
958,2,2,3,2,3,2,2,1,2,2,3
959,2,3,2,2,2,2,1,2,2,2,0
960,2,3,3,4,4,2,3,4,4,4,3
961,0,0,1,0,0,0,0,0,0,1,0
962,2,3,1,2,2,1,3,2,2,2,2
963,3,3,2,1,1,3,2,2,2,1,2
964,1,4,2,3,3,2,1,2,4,2,2
965,1,1,3,1,3,0,1,1,2,1,0
966,1,3,3,1,3,2,2,3,2,2,3
967,4,3,2,3,3,4,4,4,4,4,4
968,1,0,2,1,0,0,2,3,2,0,3
969,1,3,3,4,4,1,0,3,4,4,0
970,1,3,0,2,1,0,3,2,1,2,2
971,4,2,1,1,2,3,3,4,2,3,4
972,0,0,1,1,2,1,0,0,1,1,1
973,4,1,2,3,2,2,4,2,2,2,3
974,1,3,3,4,3,1,1,3,4,3,2
975,4,3,3,4,2,4,2,3,1,2,3
976,3,3,1,1,1,2,3,2,0,2,3
977,2,4,3,3,4,1,0,4,3,4,2
978,1,0,0,0,0,1,3,0,1,1,0
979,3,2,2,2,1,2,1,2,2,1,0
980,2,2,1,1,0,4,4,2,0,1,2
981,4,4,2,2,2,3,4,3,1,2,3
982,2,2,1,1,1,3,3,3,0,1,3
983,1,2,3,3,2,2,1,1,1,2,2
984,3,2,1,0,2,1,1,2,2,1,3
985,1,1,2,2,3,0,0,1,0,2,0
986,1,0,0,0,1,0,0,0,1,1,1
987,2,3,3,3,2,4,2,2,0,3,3
988,2,1,0,0,1,1,3,3,0,1,2
989,3,3,3,3,3,2,2,3,2,4,3
990,0,2,3,3,2,0,1,1,1,2,1
991,1,2,0,0,3,1,1,0,2,2,0
992,0,3,3,0,1,2,1,2,3,4,0
993,2,1,0,1,3,0,2,0,3,2,2
994,3,3,2,1,3,2,1,1,1,3,1
995,2,1,1,3,1,2,2,2,2,2,3
996,4,2,3,2,3,4,4,4,2,2,4
997,2,1,1,1,1,2,2,0,1,0,4
998,1,2,2,0,1,4,2,3,1,2,2
999,1,4,3,3,3,3,3,3,3,4,4
1000,4,4,3,4,3,4,4,4,4,4,4
